Periode,Kode Item,Nama Item,Satuan Standar,Aktual,Lag_1,Lag_2,Lag_3,Lag_6,Lag_12,Rolling_Mean_3,Rolling_Max_3,Rolling_Min_3,Rolling_Mean_6,Rolling_Mean_12,Prediksi_SMA,Prediksi_Decision_Tree,Error_SMA,Error_Decision_Tree,Error_Persen_SMA,Error_Persen_Decision_Tree
2025-07,268,Cefadroxil Monohydrate 500mg Kapsul Bernofarm,BOX,0.0,0.0,3.0,0.0,0.0,0.0,1.0,3.0,0.0,0.5,0.25,1.0,5.052818991097923,1.0,5.052818991097923,,
2025-07,268,Cefadroxil Monohydrate 500mg Kapsul Bernofarm,TAB,1000.0,0.0,0.0,3.0,0.0,0.0,1.0,3.0,0.0,0.5,0.25,1.0,5.052818991097923,999.0,994.947181008902,99.9,99.4947181008902
2025-07,3,CC SPUIT 3 CC,BOX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,5.052818991097923,0.0,5.052818991097923,,
2025-07,367856,"TUBE EDTA PLH 13X75, 3.0",BOX,15.0,35.0,20.0,20.0,50.0,30.0,25.0,35.0,20.0,27.5,27.916666666666668,25.0,5.052818991097923,10.0,9.947181008902078,66.66666666666666,66.31454005934718
2025-07,367957,"TUBE SST II PLH 13X75, 3.5",BOX,20.0,30.0,20.0,30.0,50.0,10.0,26.666666666666668,30.0,20.0,28.33333333333333,27.5,26.666666666666668,5.052818991097923,6.666666666666668,14.947181008902078,33.333333333333336,74.73590504451039
2025-07,4004-0805,"CYLINDRICAL TEST TUBE, PLAIN, VOL.5ML/12X75MM, PS MATERIAL",CARTON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.052818991097923,0.0,5.052818991097923,,
2025-07,4330-0004-02,"Blue Tips,VOL.1000μl,Eppendorf/Universal type,PP material BAG",ZIP-LOCK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.052818991097923,0.0,5.052818991097923,,
2025-07,4330-0012-02,"Blue Tips,Gilson/Universal type,VOL.1000μl,graduated at 100/250/500/100μl,PP BAG material",ZIP-LOCK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.052818991097923,0.0,5.052818991097923,,
2025-07,4330-0016-17,"Yellow Tips,VOL.200μl,Eppendorf/Universal type,PP material",BOX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.052818991097923,0.0,5.052818991097923,,
2025-07,4330-0023,"Pipet Tips,eppendorf type,VOL.10μl,PP material,Natural color",POLYBAG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.052818991097923,0.0,5.052818991097923,,
