Kode Item,Nama Item,Satuan,Jumlah,Total Item
D5%,Cairan Dextrose 5%,BTL,68,2584000.0
DACYC1033T00,Acyclovir 400 mg Tablet 2,BOX,1,98088.0
DAMOX1032L00,Amoxicillin Sirup 125 mg/60ml 2,BTL,35,199530.0
DBT,DOUBLE TAPE,ROL,3,21600.0
DCAPT1007T00,"CAPTOPRILl 12,5 MG TAB 5",BOX,2,37518.0
DCAPT1007T00,"CAPTOPRILl 12,5 MG TAB 5",TAB,500,418500.0
DCTZ-400,ELECTRO SURGICAL COUTER DOCTANZ 400W,UNIT,1,82882882.88
DEGIROL100,Degirol tab,TAB,1500,2337937.5
DELTA,ANTI A MONOCHLONAL DELTA GOLDAR A,BOX,1,180180.0
DELTA,ANTI AB MONOCHLONAL DELTA GOLDAR AB,BOX,1,180180.0
DELTA,ANTI B MONOCHLONAL DELTA GOLDAR B,BOX,1,180180.0
DELTA,ANTI D MONOCHLONAL DELTA GOLDAR D,BOX,1,222974.0
DETER,SABUN DETERGEN BUBUK,PCS,20,936936.0
DETER2,Sabun Detergen Bubuk 2 Kg,BUAH,3,160500.0
DEXAME5,- Inj Dexamethasone 5mg/1ml - Berno Brn,BOX,12,2258200.0
DEXAME5-INJ,Dexamethasone 5mg/1ml,AMPUL,1000,1576000.0
DEXAMETHMUL,Dexametasone 0.5 '200tab,BOX,13,148352.34
DEXAMETHMUL,Dexametasone 0.5 '200tab,TAB,10000,5040000.0
DEXG5,Dexigen 5mg,TUBE,400,11120000.0
DEXKTP,Dexketoprofen Tab,TAB,100,250000.0
DEXKTPT,Dexketoprofen Tab,TAB,500,925500.0
DIATAB,DIATABS TAB,TAB,200,160210.0
DIPHDR10,- Inj Diphenhydramin Hcl 10mg Inj,AMPUL,200,383800.0
DIPHDR10-INJ,Diphenhydramin Hcl 10mg Inj,AMPUL,500,959500.0
DIS,CLEAN ALKAZYME ENZYMATIC ALKALINE DISINFECTANT CLEANER,PAK,2,1873783.78
DIVN40,DIOVAN 40MG,BOX,1,307694.59
DKETO1028T00,Ketoconazole 200 mg Tab 1,BOX,2,62520.630000000005
DLUT,DILUENT,DUS,2,2488000.0
DMETF1033T00,Metformin 500mg Tab@200's (HJ) 1,BOX,10,393690.0
DMETF1033T00,Metformin 500mg Tab@200's (HJ) 1,TAB,1000,694000.0
DNIFE1028T005,Nifedipine 10 mg Tab,BOX,3,76455.0
DNIFE1028T005,Nifedipine 10 mg Tab,TAB,1400,980000.0
DOMEP1013K0,Omeprazole 20 mg Kaps 01,BOX,3,115152.0
DOMPS,Domperidone 5mg/5ml Syr Bernofarm,BTL,71,535956.0
DOMPSYRPER,Domperidone Syrup Ermplex YM,BTL,50,419500.0
DOMPT,Domperidone Tab,BOX,1,35298.0
DOMPT-TRIMAN,Domperidon Tab - Triman,TAB,500,470000.0
DOPM-INJ,DOPAMIN INJEKSI,AMPUL,50,797000.0
DOTM50,- Inj DOBUTAMINE 50MG INJ,AMPUL,80,1756505.3
DPM250,Dopamet 250mg,TAB,400,2480000.0
DRYNTS,Daryan-Tulle Sterile,PCS,10,300000.0
DSCOP1003T07,SCOPMA TAB 9,BOX,2,274664.1
DSS,DISPENSER SOLATIPE SEDANG,BUAH,2,109000.0
